date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2020-12-23,DET,True,False,"W, 111-101",25:09,15.0,4.0,4.0,4.0,0.0,0.0,1.0,5.0,12.0,1.0,5.0,4.0,4.0,
2020-12-26,UTA,False,False,"W, 116-111",22:20,18.0,1.0,1.0,1.0,2.0,0.0,0.0,8.0,12.0,2.0,3.0,0.0,0.0,
2020-12-27,LAL,False,True,"L, 91-127",28:32,15.0,2.0,4.0,4.0,1.0,0.0,1.0,6.0,21.0,1.0,9.0,2.0,2.0,
2020-12-29,LAC,False,False,"L, 101-124",24:42,12.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,10.0,4.0,7.0,0.0,0.0,
2021-01-01,WAS,True,False,"L, 109-130",26:21,17.0,2.0,3.0,3.0,0.0,1.0,3.0,7.0,16.0,2.0,8.0,1.0,4.0,
2021-01-03,DEN,True,False,"L, 109-124",22:56,5.0,4.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,1.0,3.0,0.0,0.0,
2021-01-05,DEN,False,False,"L, 116-123",25:34,15.0,1.0,3.0,3.0,0.0,0.0,3.0,6.0,19.0,1.0,7.0,2.0,2.0,
2021-01-07,POR,False,False,"L, 117-135",31:13,26.0,1.0,4.0,4.0,2.0,0.0,4.0,9.0,21.0,3.0,10.0,5.0,7.0,
2021-01-09,SAS,True,False,"L, 122-125 (OT)",30:16,13.0,4.0,4.0,4.0,0.0,0.0,3.0,5.0,11.0,1.0,4.0,2.0,2.0,
2021-01-10,SAS,True,True,"W, 96-88",17:41,0.0,1.0,6.0,6.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,0.0,0.0,
2021-01-13,MEM,True,False,"L, 107-118",16:51,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,
2021-01-18,ATL,False,False,"L, 97-108",30:22,12.0,2.0,5.0,5.0,0.0,0.0,1.0,5.0,16.0,2.0,5.0,0.0,0.0,
2021-01-20,ORL,True,False,"L, 96-97",22:49,8.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,14.0,1.0,4.0,1.0,2.0,
2021-01-22,ATL,True,False,"L, 98-116",24:01,5.0,1.0,3.0,3.0,1.0,0.0,3.0,2.0,12.0,1.0,5.0,0.0,0.0,
2021-01-23,NOP,True,True,"W, 120-110",20:16,18.0,1.0,1.0,1.0,2.0,0.0,2.0,5.0,14.0,2.0,7.0,6.0,6.0,
2021-01-25,GSW,False,False,"L, 108-130",27:13,15.0,1.0,3.0,3.0,1.0,0.0,2.0,4.0,13.0,1.0,3.0,6.0,7.0,
2021-01-27,GSW,False,False,"L, 111-123",32:23,25.0,2.0,4.0,4.0,3.0,0.0,3.0,9.0,19.0,5.0,8.0,2.0,2.0,
2021-01-29,PHI,True,False,"L, 94-118",28:48,15.0,3.0,4.0,4.0,0.0,0.0,1.0,5.0,13.0,3.0,7.0,2.0,2.0,
2021-01-31,CLE,True,False,"W, 109-104",30:17,23.0,4.0,5.0,5.0,1.0,1.0,0.0,9.0,15.0,4.0,7.0,1.0,1.0,
2021-02-01,CLE,False,True,"L, 98-100",31:18,13.0,2.0,3.0,3.0,1.0,0.0,0.0,5.0,12.0,2.0,5.0,1.0,1.0,
2021-02-03,SAS,False,False,"L, 108-111",31:34,14.0,2.0,6.0,6.0,0.0,1.0,0.0,6.0,14.0,1.0,3.0,1.0,2.0,
2021-02-05,OKC,False,False,"W, 106-103",32:15,9.0,5.0,2.0,2.0,0.0,1.0,2.0,3.0,14.0,1.0,7.0,2.0,2.0,
2021-02-06,OKC,False,True,"L, 118-120",31:15,20.0,4.0,8.0,8.0,1.0,1.0,0.0,8.0,16.0,2.0,5.0,2.0,4.0,
2021-02-08,DAL,False,False,"L, 122-127",30:56,22.0,4.0,2.0,2.0,2.0,2.0,1.0,8.0,19.0,3.0,8.0,3.0,4.0,
2021-02-10,LAC,True,False,"L, 112-119",29:44,11.0,2.0,4.0,4.0,1.0,0.0,3.0,4.0,9.0,1.0,5.0,2.0,2.0,
2021-02-12,CHO,False,False,"L, 114-120",33:58,21.0,3.0,6.0,6.0,0.0,0.0,0.0,9.0,21.0,2.0,6.0,1.0,1.0,
