date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2023-10-25,MIA,False,False,"L, 102-103",26:53,4.0,3.0,7.0,7.0,0.0,5.0,2.0,1.0,7.0,1.0,2.0,1.0,2.0,
2023-10-27,CHO,False,False,"W, 111-99",29:35,6.0,6.0,13.0,13.0,0.0,1.0,3.0,2.0,9.0,0.0,1.0,2.0,2.0,
2023-10-28,CHI,True,True,"W, 118-102",31:15,9.0,5.0,12.0,12.0,1.0,1.0,2.0,3.0,7.0,0.0,2.0,3.0,4.0,
2023-10-30,OKC,False,False,"L, 112-124",30:36,15.0,3.0,10.0,10.0,1.0,3.0,3.0,6.0,14.0,0.0,2.0,3.0,4.0,
2023-11-01,POR,True,False,"L, 101-110",29:56,16.0,2.0,7.0,7.0,2.0,0.0,2.0,8.0,14.0,0.0,3.0,0.0,0.0,
2023-11-02,NOP,False,True,"L, 116-125",25:03,16.0,5.0,7.0,7.0,0.0,1.0,3.0,5.0,17.0,0.0,6.0,6.0,7.0,
2023-11-05,PHO,True,False,"L, 106-120",38:07,14.0,4.0,9.0,9.0,4.0,4.0,1.0,6.0,14.0,2.0,3.0,0.0,0.0,
2023-11-06,GSW,True,True,"L, 109-120",37:31,16.0,2.0,7.0,7.0,4.0,0.0,1.0,6.0,10.0,1.0,4.0,3.0,3.0,
2023-11-08,MIL,False,False,"L, 118-120",36:48,6.0,3.0,15.0,15.0,0.0,1.0,2.0,3.0,8.0,0.0,1.0,0.0,0.0,
2023-11-10,PHI,True,False,"L, 106-114",32:16,12.0,4.0,13.0,13.0,1.0,3.0,2.0,6.0,11.0,0.0,1.0,0.0,1.0,
2023-11-12,CHI,False,False,"L, 108-119",32:21,9.0,2.0,16.0,16.0,0.0,2.0,3.0,2.0,9.0,0.0,1.0,5.0,7.0,
2023-11-14,ATL,True,False,"L, 120-126",34:50,21.0,5.0,8.0,8.0,3.0,2.0,2.0,9.0,12.0,0.0,1.0,3.0,6.0,
2023-11-17,CLE,False,False,"L, 100-108",17:19,9.0,2.0,10.0,10.0,0.0,0.0,5.0,4.0,8.0,0.0,1.0,1.0,3.0,
2023-11-19,TOR,False,False,"L, 113-142",30:16,9.0,2.0,10.0,10.0,1.0,1.0,5.0,3.0,5.0,0.0,1.0,3.0,4.0,
2023-11-20,DEN,True,True,"L, 103-107",23:45,8.0,0.0,7.0,7.0,0.0,2.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,
2023-11-24,IND,False,False,"L, 113-136",30:06,8.0,3.0,6.0,6.0,0.0,2.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,
2023-11-27,WAS,True,False,"L, 107-126",27:52,16.0,2.0,4.0,4.0,2.0,1.0,1.0,8.0,14.0,0.0,2.0,0.0,0.0,
2023-11-29,LAL,True,False,"L, 107-133",20:53,12.0,0.0,6.0,6.0,1.0,0.0,0.0,6.0,11.0,0.0,3.0,0.0,0.0,
2023-11-30,NYK,False,True,"L, 112-118",13:10,3.0,0.0,7.0,7.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,
2023-12-02,CLE,True,False,"L, 101-110",16:02,4.0,0.0,8.0,8.0,0.0,0.0,2.0,2.0,6.0,0.0,2.0,0.0,0.0,
2023-12-06,MEM,True,False,"L, 102-116",16:07,5.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,6.0,1.0,4.0,0.0,0.0,
2023-12-08,ORL,False,False,"L, 91-123",19:36,5.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,12.0,0.0,5.0,1.0,2.0,
2023-12-11,IND,True,False,"L, 123-131",33:22,20.0,2.0,6.0,6.0,1.0,1.0,1.0,8.0,10.0,1.0,2.0,3.0,5.0,
2023-12-13,PHI,True,False,"L, 111-129",29:56,10.0,3.0,8.0,8.0,1.0,0.0,0.0,5.0,7.0,0.0,1.0,0.0,0.0,
2023-12-15,PHI,False,False,"L, 92-124",21:50,8.0,1.0,3.0,3.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,2.0,2.0,
2023-12-16,MIL,False,True,"L, 114-146",23:37,7.0,1.0,6.0,6.0,0.0,0.0,0.0,3.0,6.0,1.0,3.0,0.0,0.0,
2023-12-18,ATL,False,False,"L, 124-130",18:56,2.0,3.0,8.0,8.0,1.0,0.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,
2023-12-21,UTA,True,False,"L, 111-119",18:39,7.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,
2023-12-23,BRK,False,False,"L, 115-126",31:02,7.0,2.0,5.0,5.0,1.0,0.0,0.0,2.0,7.0,1.0,3.0,2.0,3.0,
2023-12-26,BRK,True,False,"L, 112-118",08:31,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,
2023-12-28,BOS,False,False,"L, 122-128 (OT)",11:51,2.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,
2023-12-30,TOR,True,False,"W, 129-127",12:02,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,2.0,
2024-01-01,HOU,False,False,"L, 113-136",24:26,5.0,2.0,4.0,4.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,1.0,2.0,
2024-01-03,UTA,False,False,"L, 148-154 (OT)",11:07,2.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,
2024-01-05,GSW,False,False,"L, 109-113",08:31,2.0,1.0,4.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,2.0,
2024-01-07,DEN,False,False,"L, 114-131",20:14,5.0,4.0,5.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,1.0,2.0,
2024-01-09,SAC,True,False,"L, 110-131",13:31,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
2024-01-10,SAS,True,True,"L, 108-130",15:02,3.0,1.0,6.0,6.0,0.0,1.0,1.0,1.0,6.0,0.0,3.0,1.0,1.0,
2024-01-12,HOU,True,False,"L, 110-112",18:17,4.0,0.0,8.0,8.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,
2024-01-15,WAS,False,False,"W, 129-117",27:11,14.0,2.0,8.0,8.0,3.0,0.0,0.0,6.0,8.0,0.0,1.0,2.0,3.0,
2024-01-17,MIN,True,False,"L, 117-124",21:57,7.0,1.0,9.0,9.0,0.0,1.0,0.0,3.0,6.0,0.0,2.0,1.0,5.0,
2024-01-20,MIL,True,False,"L, 135-141",32:04,22.0,1.0,9.0,9.0,0.0,1.0,1.0,10.0,15.0,2.0,2.0,0.0,0.0,
2024-01-22,MIL,True,False,"L, 113-122",18:57,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,
2024-01-24,CHO,True,False,"W, 113-106",26:46,7.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,4.0,0.0,1.0,1.0,2.0,
2024-01-27,WAS,True,False,"L, 104-118",17:11,8.0,0.0,2.0,2.0,1.0,2.0,1.0,4.0,6.0,0.0,2.0,0.0,0.0,
2024-01-28,OKC,True,True,"W, 120-104",19:43,9.0,1.0,4.0,4.0,1.0,1.0,0.0,3.0,7.0,0.0,1.0,3.0,3.0,
2024-01-31,CLE,False,False,"L, 121-128",17:42,4.0,2.0,6.0,6.0,2.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,
