date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2021-10-22,PHO,True,False,"L, 105-115",12:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,3.0,0.0,0.0,
2021-10-24,MEM,True,False,"W, 121-118",17:50,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,
2021-10-26,SAS,False,False,"W, 125-121 (OT)",30:13,10.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,5.0,2.0,4.0,2.0,2.0,
2021-10-27,OKC,False,True,"L, 115-123",17:46,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,
2021-10-29,CLE,True,False,"W, 113-101",20:54,7.0,2.0,3.0,3.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,
2021-10-31,HOU,True,False,"W, 95-85",20:11,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,
2021-11-02,HOU,True,False,"W, 119-117",20:48,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,
2021-11-04,OKC,True,False,"L, 104-107",22:08,8.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,6.0,2.0,5.0,0.0,0.0,
2021-11-06,POR,False,False,"L, 90-105",24:33,10.0,3.0,6.0,6.0,0.0,0.0,1.0,3.0,9.0,2.0,5.0,2.0,2.0,
2021-11-08,CHO,True,False,"W, 126-123 (OT)",27:00,8.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,3.0,2.0,2.0,
2021-11-28,DET,True,False,"W, 110-106",05:59,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-11-30,SAC,False,False,"W, 117-92",18:13,3.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,
2021-12-03,LAC,True,False,"L, 115-119",08:59,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,
