date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2017-10-18,HOU,True,False,"L, 100-105",32:49,19.0,4.0,5.0,5.0,1.0,0.0,2.0,8.0,17.0,3.0,7.0,0.0,0.0,1.0
2017-10-20,DAL,False,False,"W, 93-88",27:28,13.0,3.0,6.0,6.0,0.0,0.0,1.0,4.0,11.0,1.0,6.0,4.0,4.0,1.0
2017-10-21,DEN,False,True,"L, 79-96",22:16,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,10.0,0.0,4.0,1.0,1.0,1.0
2017-10-23,PHO,False,False,"L, 115-117",16:46,14.0,0.0,2.0,2.0,5.0,0.0,1.0,6.0,15.0,1.0,4.0,1.0,2.0,1.0
2017-10-26,NOP,True,False,"L, 106-114",19:32,12.0,0.0,3.0,3.0,0.0,0.0,2.0,5.0,9.0,1.0,3.0,1.0,1.0,1.0
2017-10-29,WAS,True,False,"L, 83-110",26:49,7.0,1.0,3.0,3.0,0.0,0.0,1.0,3.0,11.0,1.0,4.0,0.0,0.0,1.0
2017-10-31,IND,False,False,"L, 83-101",19:18,4.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,9.0,0.0,3.0,0.0,0.0,1.0
2017-11-01,BOS,False,True,"L, 86-113",26:45,17.0,2.0,7.0,7.0,3.0,0.0,5.0,7.0,11.0,2.0,4.0,1.0,1.0,0.0
2017-11-04,DET,False,False,"L, 99-108",21:09,13.0,0.0,8.0,8.0,0.0,1.0,1.0,5.0,11.0,1.0,3.0,2.0,2.0,0.0
2017-11-07,OKC,True,False,"W, 94-86",27:37,21.0,1.0,7.0,7.0,2.0,0.0,3.0,7.0,9.0,4.0,4.0,3.0,3.0,0.0
2017-11-09,PHI,True,False,"W, 109-108",20:27,8.0,4.0,4.0,4.0,1.0,0.0,0.0,3.0,10.0,2.0,4.0,0.0,0.0,0.0
2017-11-11,NYK,False,False,"L, 91-118",27:07,17.0,4.0,7.0,7.0,0.0,0.0,1.0,6.0,13.0,4.0,5.0,1.0,2.0,0.0
2017-11-13,WAS,False,False,"L, 92-110",26:01,12.0,3.0,3.0,3.0,3.0,0.0,2.0,5.0,11.0,2.0,5.0,0.0,0.0,0.0
2017-11-15,ATL,False,False,"L, 80-126",20:35,6.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,8.0,1.0,4.0,1.0,2.0,0.0
2017-11-17,POR,True,False,"W, 86-82",16:33,8.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0
2017-11-22,LAL,True,False,"W, 113-102",15:00,10.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,7.0,1.0,3.0,1.0,1.0,0.0
2017-11-25,LAC,True,False,"L, 95-97",25:58,27.0,2.0,5.0,5.0,0.0,1.0,1.0,10.0,18.0,7.0,9.0,0.0,0.0,0.0
2017-11-27,GSW,False,False,"W, 110-106",15:10,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0
2017-11-28,MIL,True,True,"L, 87-112",21:19,13.0,0.0,2.0,2.0,1.0,0.0,1.0,5.0,10.0,1.0,2.0,2.0,2.0,0.0
2017-12-01,CHI,False,False,"W, 107-106",07:27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2017-12-02,MIL,False,True,"L, 104-109",29:48,19.0,4.0,6.0,6.0,1.0,0.0,1.0,6.0,12.0,4.0,6.0,3.0,3.0,0.0
2017-12-06,CLE,False,False,"L, 95-101",25:43,17.0,3.0,4.0,4.0,3.0,1.0,3.0,7.0,13.0,2.0,6.0,1.0,1.0,0.0
2017-12-08,NOP,False,False,"W, 116-109 (OT)",33:21,18.0,2.0,7.0,7.0,1.0,0.0,3.0,7.0,12.0,4.0,5.0,0.0,0.0,0.0
2017-12-10,TOR,True,False,"L, 87-102",28:05,17.0,2.0,3.0,3.0,1.0,0.0,6.0,7.0,13.0,3.0,5.0,0.0,0.0,0.0
2017-12-12,PHO,True,False,"W, 99-92",25:07,14.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,14.0,2.0,5.0,0.0,0.0,0.0
2017-12-14,MIN,False,False,"L, 96-119",21:40,10.0,0.0,3.0,3.0,0.0,0.0,1.0,4.0,9.0,2.0,7.0,0.0,0.0,0.0
2017-12-17,TOR,False,False,"L, 93-108",17:09,7.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,8.0,1.0,2.0,0.0,0.0,0.0
2017-12-19,PHI,False,False,"W, 101-95",28:07,24.0,2.0,5.0,5.0,3.0,0.0,3.0,9.0,19.0,3.0,9.0,3.0,3.0,0.0
2017-12-20,BRK,False,True,"W, 104-99",16:15,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0
2017-12-23,SAS,True,False,"L, 99-108",31:50,24.0,1.0,8.0,8.0,0.0,1.0,0.0,9.0,17.0,4.0,7.0,2.0,2.0,1.0
2017-12-26,LAC,False,False,"L, 95-122",17:33,10.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,9.0,2.0,4.0,0.0,0.0,1.0
2017-12-27,CLE,True,True,"W, 109-95",24:07,8.0,4.0,2.0,2.0,1.0,0.0,0.0,3.0,7.0,2.0,4.0,0.0,0.0,0.0
2017-12-29,PHO,True,False,"L, 101-111",24:42,12.0,1.0,4.0,4.0,0.0,0.0,1.0,4.0,12.0,2.0,5.0,2.0,2.0,0.0
2017-12-31,MEM,True,False,"L, 96-114",30:31,15.0,2.0,1.0,1.0,0.0,1.0,1.0,5.0,14.0,3.0,7.0,2.0,3.0,0.0
2018-01-02,CHO,True,False,"L, 111-131",24:33,6.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0
2018-01-06,DEN,True,False,"W, 106-98",34:34,14.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,14.0,4.0,9.0,0.0,0.0,1.0
2018-01-08,SAS,True,False,"L, 100-107",28:13,10.0,1.0,3.0,3.0,1.0,0.0,3.0,4.0,12.0,2.0,8.0,0.0,0.0,1.0
2018-01-09,LAL,False,True,"L, 86-99",22:31,13.0,2.0,1.0,1.0,1.0,0.0,2.0,4.0,11.0,3.0,4.0,2.0,2.0,1.0
2018-01-11,LAC,True,False,"L, 115-121",31:33,14.0,5.0,4.0,4.0,0.0,0.0,2.0,5.0,13.0,2.0,7.0,2.0,3.0,0.0
2018-01-13,LAC,False,False,"L, 105-126",21:28,10.0,0.0,4.0,4.0,1.0,0.0,1.0,5.0,8.0,0.0,2.0,0.0,0.0,0.0
2018-01-15,OKC,False,False,"L, 88-95",27:54,16.0,4.0,5.0,5.0,0.0,0.0,0.0,6.0,15.0,0.0,5.0,4.0,4.0,0.0
2018-01-17,UTA,True,False,"L, 105-120",24:40,9.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,7.0,1.0,3.0,0.0,0.0,0.0
2018-01-19,MEM,False,False,"L, 88-106",25:58,13.0,2.0,7.0,7.0,2.0,0.0,0.0,4.0,11.0,2.0,4.0,3.0,3.0,0.0
2018-01-22,CHO,False,False,"L, 107-112",26:42,18.0,2.0,5.0,5.0,0.0,0.0,1.0,6.0,13.0,4.0,6.0,2.0,2.0,0.0
2018-01-23,ORL,False,True,"W, 105-99",28:15,13.0,2.0,5.0,5.0,4.0,1.0,2.0,5.0,10.0,3.0,6.0,0.0,0.0,0.0
2018-01-25,MIA,False,False,"W, 89-88",28:36,24.0,1.0,5.0,5.0,0.0,0.0,2.0,10.0,15.0,4.0,7.0,0.0,0.0,0.0
2018-01-28,SAS,False,False,"L, 98-113",19:55,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0
