date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2020-12-27,LAL,False,False,"L, 91-127",07:40,6.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,
2020-12-29,LAC,False,False,"L, 101-124",07:29,3.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,
2021-01-01,WAS,True,False,"L, 109-130",09:05,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,
2021-01-03,DEN,True,False,"L, 109-124",00:55,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,
2021-01-07,POR,False,False,"L, 117-135",12:00,3.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,
2021-01-18,ATL,False,False,"L, 97-108",12:26,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,
2021-01-20,ORL,True,False,"L, 96-97",26:06,12.0,1.0,8.0,8.0,0.0,3.0,0.0,5.0,9.0,2.0,4.0,0.0,0.0,
2021-01-22,ATL,True,False,"L, 98-116",22:34,4.0,0.0,5.0,5.0,0.0,1.0,0.0,2.0,9.0,0.0,2.0,0.0,1.0,
2021-01-23,NOP,True,True,"W, 120-110",20:07,3.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,7.0,1.0,3.0,0.0,0.0,
2021-01-25,GSW,False,False,"L, 108-130",25:42,7.0,2.0,5.0,5.0,1.0,0.0,0.0,3.0,9.0,1.0,3.0,0.0,2.0,
2021-01-27,GSW,False,False,"L, 111-123",14:29,5.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,5.0,1.0,4.0,2.0,4.0,
2021-01-29,PHI,True,False,"L, 94-118",24:23,6.0,0.0,7.0,7.0,0.0,1.0,0.0,3.0,8.0,0.0,2.0,0.0,0.0,
2021-01-31,CLE,True,False,"W, 109-104",20:02,3.0,1.0,3.0,3.0,1.0,3.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,
2021-02-01,CLE,False,True,"L, 98-100",21:38,11.0,0.0,4.0,4.0,0.0,0.0,2.0,5.0,10.0,1.0,4.0,0.0,0.0,
2021-02-03,SAS,False,False,"L, 108-111",18:00,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,
2021-02-05,OKC,False,False,"W, 106-103",28:37,0.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,
2021-02-06,OKC,False,True,"L, 118-120",23:50,8.0,2.0,6.0,6.0,1.0,0.0,3.0,3.0,5.0,1.0,3.0,1.0,2.0,
2021-02-08,DAL,False,False,"L, 122-127",19:49,6.0,1.0,5.0,5.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,
2021-02-10,LAC,True,False,"L, 112-119",18:12,10.0,3.0,3.0,3.0,0.0,4.0,1.0,4.0,7.0,2.0,5.0,0.0,0.0,
2021-02-12,CHO,False,False,"L, 114-120",24:20,9.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,7.0,2.0,4.0,1.0,2.0,
2021-02-14,TOR,False,False,"W, 116-112",18:18,6.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,
2021-02-16,LAL,True,False,"L, 104-112",17:44,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,
2021-02-17,IND,True,True,"L, 128-134 (OT)",37:04,11.0,1.0,4.0,4.0,0.0,3.0,1.0,4.0,10.0,3.0,6.0,0.0,0.0,
2021-02-19,TOR,True,False,"L, 81-86",30:33,8.0,1.0,6.0,6.0,0.0,2.0,1.0,2.0,5.0,2.0,5.0,2.0,3.0,
2021-02-21,NYK,False,False,"L, 99-103",21:40,6.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,7.0,1.0,3.0,1.0,1.0,
2021-02-23,MIL,False,False,"L, 112-139",21:51,4.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,
2021-02-24,CHI,False,True,"L, 126-133 (OT)",15:35,2.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,
2021-02-27,WAS,False,False,"L, 112-128",14:58,0.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,
2021-02-28,PHO,True,True,"L, 99-118",08:45,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,
2021-03-03,CHO,True,False,"L, 102-135",29:52,5.0,2.0,7.0,7.0,0.0,0.0,0.0,2.0,7.0,0.0,4.0,1.0,2.0,
2021-03-11,NOP,False,False,"W, 135-105",25:40,20.0,1.0,4.0,4.0,2.0,3.0,0.0,8.0,9.0,4.0,5.0,0.0,1.0,
2021-03-13,POR,True,False,"L, 121-125",21:28,5.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,
2021-03-16,LAL,False,False,"L, 121-137",22:43,5.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,
2021-03-18,PHO,False,False,"W, 123-119",26:55,2.0,2.0,4.0,4.0,2.0,1.0,0.0,1.0,5.0,0.0,3.0,0.0,2.0,
2021-03-19,PHO,False,True,"L, 101-113",28:13,8.0,0.0,5.0,5.0,1.0,0.0,0.0,4.0,11.0,0.0,4.0,0.0,0.0,
2021-03-22,OKC,True,False,"L, 103-112",14:55,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,
2021-03-24,DAL,True,False,"L, 108-128",28:34,9.0,1.0,5.0,5.0,1.0,1.0,0.0,4.0,8.0,1.0,3.0,0.0,0.0,
2021-03-26,HOU,True,False,"W, 107-101",33:00,14.0,0.0,4.0,4.0,0.0,2.0,0.0,5.0,5.0,2.0,2.0,2.0,2.0,
2021-03-27,HOU,True,True,"L, 107-129",35:55,14.0,1.0,2.0,2.0,0.0,1.0,0.0,6.0,10.0,2.0,4.0,0.0,0.0,
2021-03-29,BRK,False,False,"L, 107-112",38:05,13.0,4.0,7.0,7.0,1.0,4.0,0.0,5.0,11.0,3.0,5.0,0.0,0.0,
2021-03-31,NYK,True,False,"W, 102-101",36:14,18.0,3.0,5.0,5.0,0.0,0.0,2.0,7.0,13.0,4.0,9.0,0.0,0.0,
2021-04-02,MEM,False,False,"L, 108-120",20:38,7.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,
2021-04-03,PHI,False,True,"L, 113-122",35:28,14.0,1.0,8.0,8.0,1.0,2.0,0.0,4.0,10.0,2.0,6.0,4.0,4.0,
2021-04-05,SAC,True,False,"W, 116-106",19:32,4.0,0.0,5.0,5.0,0.0,1.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,
2021-04-07,IND,False,False,"L, 137-141",37:12,8.0,2.0,7.0,7.0,2.0,0.0,3.0,3.0,5.0,1.0,3.0,1.0,2.0,
2021-04-09,BOS,False,False,"L, 136-145 (OT)",43:35,11.0,1.0,3.0,3.0,2.0,0.0,1.0,5.0,12.0,1.0,5.0,0.0,0.0,
2021-04-11,CHI,True,False,"W, 121-117",29:35,4.0,1.0,6.0,6.0,1.0,3.0,0.0,1.0,7.0,0.0,4.0,2.0,2.0,
2021-04-13,BRK,True,False,"L, 97-127",23:52,5.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,5.0,1.0,3.0,0.0,0.0,
2021-04-14,MIL,True,True,"L, 105-130",25:38,13.0,0.0,4.0,4.0,0.0,0.0,2.0,5.0,10.0,3.0,5.0,0.0,0.0,
2021-04-16,MIA,True,False,"W, 119-111",15:52,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0,
2021-04-18,LAC,False,False,"L, 105-124",27:22,11.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,6.0,3.0,5.0,0.0,0.0,
2021-04-20,SAC,False,False,"W, 134-120",30:27,13.0,0.0,6.0,6.0,0.0,1.0,3.0,6.0,8.0,1.0,2.0,0.0,0.0,
2021-04-21,SAC,False,True,"L, 125-128",32:02,4.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,
2021-04-24,UTA,False,False,"W, 101-96",33:00,6.0,2.0,5.0,5.0,1.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,
2021-04-26,UTA,True,False,"W, 105-104",34:27,6.0,2.0,10.0,10.0,0.0,2.0,1.0,2.0,9.0,1.0,6.0,1.0,2.0,
2021-04-27,HOU,False,True,"W, 114-107",25:45,5.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,
