date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2016-10-26,NOP,False,False,"W, 107-102",13:15,1.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,
2016-10-29,POR,True,False,"L, 113-115 (OT)",11:48,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
2016-10-31,TOR,False,False,"L, 102-105",11:47,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,
2016-11-03,MIN,False,False,"W, 102-99",29:27,0.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,8.0,0.0,4.0,0.0,0.0,
2016-11-05,DET,False,False,"L, 86-103",27:29,9.0,2.0,1.0,1.0,1.0,0.0,4.0,4.0,10.0,1.0,4.0,0.0,0.0,
2016-11-06,BOS,False,True,"W, 123-107",13:14,9.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,2.0,4.0,1.0,1.0,
2016-11-08,MEM,False,False,"L, 107-108",17:17,10.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,4.0,0.0,0.0,
2016-11-10,GSW,True,False,"L, 101-125",29:04,14.0,6.0,3.0,3.0,0.0,1.0,3.0,5.0,15.0,2.0,7.0,2.0,2.0,
2016-11-12,DET,True,False,"L, 95-106",19:55,7.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,6.0,1.0,3.0,0.0,0.0,
2016-11-13,POR,False,True,"L, 105-112",27:45,19.0,1.0,5.0,5.0,0.0,0.0,6.0,6.0,12.0,5.0,9.0,2.0,3.0,
2016-11-16,PHO,True,False,"W, 120-104",20:08,9.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,8.0,3.0,4.0,0.0,0.0,
2016-11-18,TOR,True,False,"L, 111-113 (OT)",18:37,5.0,4.0,3.0,3.0,1.0,0.0,1.0,2.0,8.0,0.0,3.0,1.0,2.0,
2016-11-20,UTA,True,False,"W, 105-91",22:30,18.0,4.0,1.0,1.0,0.0,1.0,0.0,6.0,9.0,3.0,4.0,3.0,4.0,
