date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2017-10-19,LAC,True,False,"L, 92-108",29:21,3.0,4.0,9.0,9.0,1.0,1.0,2.0,1.0,6.0,1.0,3.0,0.0,2.0,
2017-10-20,PHO,False,True,"W, 132-130",37:27,29.0,9.0,11.0,11.0,1.0,0.0,4.0,12.0,27.0,4.0,9.0,1.0,2.0,
2017-10-22,NOP,True,False,"L, 112-119",36:24,8.0,13.0,8.0,8.0,1.0,0.0,5.0,3.0,13.0,0.0,5.0,2.0,2.0,
2017-10-25,WAS,True,False,"W, 102-99 (OT)",39:38,6.0,10.0,8.0,8.0,1.0,1.0,1.0,2.0,11.0,0.0,5.0,2.0,3.0,
2017-10-27,TOR,True,False,"L, 92-101",31:30,5.0,6.0,7.0,7.0,2.0,0.0,4.0,2.0,7.0,1.0,4.0,0.0,0.0,
2017-10-28,UTA,False,True,"L, 81-96",35:47,9.0,4.0,2.0,2.0,2.0,0.0,5.0,3.0,10.0,3.0,6.0,0.0,0.0,
2017-10-31,DET,True,False,"W, 113-93",27:46,13.0,3.0,6.0,6.0,0.0,2.0,0.0,6.0,13.0,1.0,3.0,0.0,0.0,
2017-11-02,POR,False,False,"L, 110-113",28:07,0.0,4.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,
2017-11-03,BRK,True,True,"W, 124-112",28:37,6.0,7.0,5.0,5.0,2.0,0.0,0.0,3.0,15.0,0.0,3.0,0.0,1.0,
2017-11-05,MEM,True,False,"W, 107-102",35:09,9.0,9.0,5.0,5.0,0.0,0.0,2.0,3.0,13.0,1.0,8.0,2.0,3.0,
2017-11-08,BOS,False,False,"L, 96-107",38:34,9.0,6.0,5.0,5.0,1.0,4.0,2.0,4.0,15.0,1.0,5.0,0.0,0.0,
2017-11-09,WAS,False,True,"L, 95-111",28:30,10.0,8.0,8.0,8.0,2.0,0.0,4.0,3.0,12.0,1.0,7.0,3.0,7.0,
2017-11-11,MIL,False,False,"L, 90-98",38:48,19.0,13.0,12.0,12.0,3.0,3.0,4.0,7.0,12.0,3.0,5.0,2.0,4.0,
2017-11-13,PHO,False,False,"W, 100-93",28:05,7.0,5.0,5.0,5.0,2.0,0.0,4.0,3.0,10.0,1.0,4.0,0.0,0.0,
2017-11-15,PHI,True,False,"L, 109-115",21:25,2.0,2.0,5.0,5.0,1.0,0.0,2.0,1.0,9.0,0.0,6.0,0.0,0.0,
2017-11-17,PHO,True,False,"L, 113-122",37:42,6.0,6.0,6.0,6.0,5.0,2.0,3.0,3.0,7.0,0.0,1.0,0.0,2.0,
2017-11-19,DEN,True,False,"W, 127-109",39:54,11.0,11.0,16.0,16.0,0.0,2.0,2.0,5.0,13.0,1.0,4.0,0.0,0.0,
2017-11-21,CHI,True,False,"W, 103-94",32:00,8.0,4.0,13.0,13.0,1.0,0.0,1.0,3.0,13.0,2.0,8.0,0.0,0.0,
2017-11-22,SAC,False,True,"L, 102-113",37:16,11.0,11.0,7.0,7.0,1.0,0.0,4.0,4.0,8.0,3.0,5.0,0.0,2.0,
2017-11-27,LAC,False,False,"L, 115-120",26:17,3.0,7.0,5.0,5.0,1.0,0.0,3.0,1.0,7.0,1.0,6.0,0.0,0.0,
2017-11-29,GSW,True,False,"L, 123-127 (OT)",43:20,15.0,10.0,2.0,2.0,1.0,0.0,2.0,5.0,12.0,3.0,7.0,2.0,2.0,
2017-12-02,DEN,False,False,"L, 100-115",33:22,9.0,5.0,9.0,9.0,2.0,0.0,5.0,4.0,10.0,1.0,4.0,0.0,0.0,
2017-12-03,HOU,True,True,"L, 95-118",22:02,2.0,3.0,1.0,1.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,2.0,
