date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2019-12-08,LAL,False,False,"L, 125-142",02:51,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,
2019-12-09,PHO,False,True,"L, 109-125",01:09,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2019-12-30,BRK,True,False,"W, 122-115 (OT)",19:54,13.0,1.0,4.0,4.0,1.0,1.0,2.0,5.0,16.0,3.0,10.0,0.0,0.0,
2020-01-01,MIL,False,False,"L, 104-106",18:20,11.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,10.0,2.0,7.0,1.0,2.0,
2020-01-02,GSW,True,True,"W, 99-84",20:29,13.0,1.0,6.0,6.0,0.0,1.0,1.0,5.0,11.0,3.0,6.0,0.0,3.0,
2020-01-05,CLE,False,False,"W, 118-103",10:49,8.0,3.0,2.0,2.0,3.0,0.0,2.0,4.0,7.0,0.0,1.0,0.0,0.0,
2020-01-07,MEM,False,False,"L, 112-119",10:35,10.0,1.0,5.0,5.0,0.0,0.0,1.0,3.0,6.0,1.0,3.0,3.0,3.0,
2020-01-09,POR,True,False,"W, 116-102",16:31,0.0,1.0,6.0,6.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,
2020-01-11,HOU,False,False,"L, 109-139",17:34,14.0,1.0,2.0,2.0,0.0,1.0,0.0,5.0,14.0,1.0,8.0,3.0,4.0,
2020-01-13,OKC,True,False,"L, 104-117",18:23,20.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0,13.0,4.0,8.0,2.0,2.0,
2020-01-15,IND,True,False,"L, 99-104",08:11,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,
2020-01-18,TOR,True,False,"L, 112-122",02:40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
2020-01-25,OKC,True,False,"L, 104-113",06:45,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,
2020-01-27,SAC,True,False,"L, 129-133 (OT)",01:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2020-02-01,LAC,False,False,"L, 106-118",02:12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-05,ATL,True,False,"L, 120-127",12:54,10.0,0.0,2.0,2.0,0.0,2.0,1.0,4.0,6.0,2.0,3.0,0.0,0.0,
2020-02-08,LAC,True,False,"W, 142-115",13:48,14.0,1.0,9.0,9.0,0.0,0.0,1.0,5.0,13.0,4.0,6.0,0.0,0.0,
2020-02-10,TOR,False,False,"L, 126-137",09:52,8.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,3.0,
2020-02-12,CHO,True,False,"L, 108-115",22:05,12.0,0.0,6.0,6.0,1.0,1.0,0.0,4.0,7.0,0.0,2.0,4.0,4.0,
2020-02-21,BOS,True,False,"L, 117-127",32:34,19.0,1.0,9.0,9.0,3.0,0.0,0.0,7.0,15.0,2.0,5.0,3.0,4.0,
2020-02-23,DEN,False,False,"L, 116-128",21:51,13.0,1.0,5.0,5.0,1.0,0.0,2.0,5.0,12.0,1.0,4.0,2.0,3.0,
2020-02-24,DAL,False,True,"L, 123-139",26:45,6.0,2.0,5.0,5.0,0.0,3.0,0.0,2.0,10.0,1.0,3.0,1.0,1.0,
2020-02-26,MIA,False,False,"W, 129-126",18:47,9.0,0.0,3.0,3.0,1.0,1.0,0.0,4.0,7.0,0.0,3.0,1.0,3.0,
2020-02-28,ORL,False,False,"L, 125-136",23:10,7.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,6.0,1.0,2.0,0.0,1.0,
2020-03-01,DAL,True,False,"L, 91-111",27:14,9.0,2.0,12.0,12.0,0.0,0.0,0.0,4.0,13.0,0.0,2.0,1.0,2.0,
2020-03-03,NOP,False,False,"W, 139-134",27:23,13.0,3.0,14.0,14.0,3.0,2.0,1.0,5.0,12.0,1.0,4.0,2.0,2.0,
2020-03-04,CHI,True,True,"W, 115-108",24:58,16.0,3.0,11.0,11.0,0.0,2.0,0.0,5.0,10.0,3.0,3.0,3.0,6.0,
2020-03-06,ORL,True,False,"L, 118-132",28:04,16.0,3.0,3.0,3.0,1.0,1.0,2.0,5.0,14.0,1.0,5.0,5.0,6.0,
