date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2022-10-19,DEN,True,False,"W, 123-102",00:55,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
2022-10-24,HOU,False,False,"L, 108-114",05:13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2022-10-28,DEN,False,False,"L, 101-117",08:29,7.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,1.0,3.0,2.0,2.0,
2022-10-29,MEM,True,True,"W, 124-123",20:50,11.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,8.0,2.0,5.0,1.0,2.0,
2022-10-31,MEM,True,False,"W, 121-105",03:17,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
2022-11-04,LAL,False,False,"W, 130-116",07:47,6.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,
2022-11-06,LAC,False,False,"W, 110-102",08:44,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,
2022-11-07,LAL,True,True,"W, 139-116",12:00,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,
2022-11-12,WAS,False,False,"L, 112-121",02:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-11-21,LAC,False,False,"L, 114-121",09:22,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,
2022-11-25,GSW,False,False,"L, 118-129",30:11,8.0,6.0,5.0,5.0,3.0,1.0,1.0,3.0,11.0,0.0,6.0,2.0,2.0,
2022-11-26,PHO,False,True,"L, 112-113",16:02,12.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,4.0,0.0,0.0,
2022-11-28,CHI,True,False,"L, 107-114",14:01,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,
2022-11-30,LAC,True,False,"W, 125-112",15:28,11.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,7.0,1.0,2.0,0.0,0.0,
2022-12-02,IND,True,False,"W, 139-119",03:29,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
2022-12-07,GSW,True,False,"W, 124-123",28:53,11.0,4.0,7.0,7.0,3.0,0.0,3.0,4.0,5.0,3.0,4.0,0.0,0.0,
