date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2022-10-19,UTA,False,False,"L, 102-123",33:25,27.0,6.0,4.0,4.0,3.0,0.0,3.0,12.0,17.0,1.0,3.0,2.0,2.0,
2022-10-21,GSW,False,False,"W, 128-123",34:24,26.0,10.0,12.0,12.0,0.0,0.0,5.0,7.0,13.0,1.0,2.0,11.0,11.0,
2022-10-22,OKC,True,True,"W, 122-117",38:41,19.0,13.0,16.0,16.0,1.0,1.0,3.0,6.0,10.0,1.0,1.0,6.0,9.0,
2022-10-24,POR,False,False,"L, 110-135",26:58,9.0,9.0,9.0,9.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,3.0,3.0,
2022-10-26,LAL,True,False,"W, 110-99",34:48,31.0,9.0,13.0,13.0,4.0,0.0,3.0,12.0,17.0,0.0,4.0,7.0,7.0,
2022-10-28,UTA,True,False,"W, 117-101",25:28,12.0,6.0,10.0,10.0,1.0,1.0,1.0,3.0,10.0,0.0,4.0,6.0,8.0,
2022-10-30,LAL,False,False,"L, 110-121",35:52,23.0,6.0,14.0,14.0,0.0,2.0,2.0,8.0,16.0,1.0,5.0,6.0,7.0,
2022-11-03,OKC,False,False,"W, 122-110",35:38,15.0,14.0,13.0,13.0,1.0,0.0,10.0,6.0,9.0,0.0,0.0,3.0,3.0,
2022-11-05,SAS,True,False,"W, 126-101",26:34,21.0,10.0,6.0,6.0,2.0,0.0,4.0,9.0,10.0,1.0,1.0,2.0,2.0,
2022-11-07,SAS,False,False,"W, 115-109",33:57,26.0,10.0,8.0,8.0,2.0,3.0,4.0,11.0,20.0,0.0,1.0,4.0,5.0,
2022-11-09,IND,False,False,"W, 122-119",20:42,24.0,6.0,4.0,4.0,2.0,1.0,1.0,10.0,20.0,1.0,3.0,3.0,3.0,
2022-11-11,BOS,False,False,"L, 112-131",29:44,29.0,3.0,8.0,8.0,0.0,0.0,2.0,12.0,20.0,2.0,4.0,3.0,4.0,
2022-11-13,CHI,False,False,"W, 126-103",27:36,8.0,14.0,6.0,6.0,3.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,
2022-11-22,DET,True,False,"L, 108-110",36:44,31.0,10.0,9.0,9.0,1.0,1.0,5.0,12.0,16.0,0.0,0.0,7.0,11.0,
2022-11-23,OKC,False,True,"W, 131-126 (OT)",43:09,39.0,9.0,10.0,10.0,0.0,0.0,4.0,11.0,15.0,1.0,3.0,16.0,18.0,
2022-11-25,LAC,False,False,"W, 114-104",32:24,19.0,6.0,13.0,13.0,2.0,1.0,2.0,7.0,13.0,0.0,1.0,5.0,7.0,
2022-11-28,HOU,True,False,"W, 129-113",27:27,32.0,8.0,12.0,12.0,0.0,0.0,3.0,11.0,17.0,1.0,2.0,9.0,10.0,
2022-11-30,HOU,True,False,"W, 120-100",27:33,17.0,12.0,9.0,9.0,1.0,1.0,4.0,7.0,9.0,2.0,3.0,1.0,1.0,
2022-12-02,ATL,False,False,"L, 109-117",35:04,24.0,8.0,10.0,10.0,1.0,0.0,2.0,10.0,15.0,3.0,6.0,1.0,4.0,
2022-12-04,NOP,False,False,"L, 106-121",37:17,32.0,9.0,16.0,16.0,2.0,1.0,4.0,13.0,19.0,1.0,4.0,5.0,9.0,
2022-12-06,DAL,True,False,"L, 115-116",34:03,19.0,8.0,8.0,8.0,1.0,0.0,3.0,7.0,13.0,0.0,3.0,5.0,6.0,
2022-12-08,POR,False,False,"W, 121-120",34:21,33.0,9.0,10.0,10.0,0.0,1.0,6.0,14.0,25.0,1.0,3.0,4.0,6.0,
2022-12-10,UTA,True,False,"W, 115-110",35:22,31.0,14.0,12.0,12.0,1.0,4.0,3.0,11.0,20.0,1.0,4.0,8.0,10.0,
2022-12-14,WAS,True,False,"W, 141-128",33:03,43.0,8.0,14.0,14.0,5.0,1.0,8.0,17.0,20.0,0.0,2.0,9.0,10.0,
2022-12-16,LAL,False,False,"L, 108-126",35:17,25.0,8.0,11.0,11.0,4.0,0.0,5.0,8.0,15.0,1.0,3.0,8.0,9.0,
2022-12-18,CHO,True,False,"W, 119-115",39:41,40.0,10.0,27.0,27.0,2.0,0.0,5.0,13.0,26.0,2.0,4.0,12.0,17.0,
2022-12-20,MEM,True,False,"W, 105-91",37:05,13.0,13.0,13.0,13.0,2.0,0.0,4.0,6.0,12.0,1.0,1.0,0.0,1.0,
2022-12-23,POR,True,False,"W, 120-107",35:43,29.0,11.0,8.0,8.0,2.0,0.0,2.0,12.0,21.0,0.0,0.0,5.0,8.0,
2022-12-25,PHO,True,False,"W, 128-125 (OT)",44:25,41.0,15.0,15.0,15.0,0.0,1.0,3.0,16.0,25.0,2.0,4.0,7.0,9.0,
2022-12-27,SAC,False,False,"W, 113-106",36:53,20.0,11.0,9.0,9.0,1.0,0.0,0.0,7.0,10.0,0.0,0.0,6.0,6.0,
2022-12-28,SAC,False,True,"L, 126-127",32:29,40.0,6.0,7.0,7.0,1.0,1.0,5.0,15.0,24.0,0.0,3.0,10.0,10.0,
2022-12-30,MIA,True,False,"W, 124-119",36:17,19.0,12.0,12.0,12.0,1.0,1.0,3.0,8.0,15.0,2.0,3.0,1.0,1.0,
2023-01-01,BOS,True,False,"W, 123-111",32:02,30.0,12.0,12.0,12.0,1.0,0.0,0.0,10.0,13.0,2.0,2.0,8.0,8.0,
2023-01-02,MIN,False,True,"L, 111-124",33:17,24.0,9.0,7.0,7.0,2.0,0.0,5.0,10.0,20.0,1.0,3.0,3.0,4.0,
