date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2022-10-20,LAL,False,False,"W, 103-97",36:11,15.0,4.0,10.0,10.0,2.0,0.0,5.0,4.0,12.0,2.0,7.0,5.0,6.0,
2022-10-22,SAC,False,False,"W, 111-109",38:35,40.0,6.0,6.0,6.0,2.0,1.0,4.0,16.0,31.0,3.0,10.0,5.0,5.0,
2022-10-23,PHO,True,True,"L, 95-112",33:40,16.0,4.0,7.0,7.0,2.0,0.0,2.0,4.0,11.0,2.0,6.0,6.0,6.0,
2022-10-27,OKC,False,False,"L, 110-118",30:59,10.0,3.0,7.0,7.0,0.0,0.0,3.0,4.0,12.0,0.0,4.0,2.0,2.0,
2022-10-30,NOP,True,False,"L, 91-112",27:46,14.0,3.0,3.0,3.0,1.0,0.0,4.0,5.0,19.0,2.0,8.0,2.0,2.0,
2022-10-31,HOU,True,True,"W, 95-93",37:58,35.0,8.0,9.0,9.0,6.0,2.0,3.0,15.0,26.0,5.0,10.0,0.0,1.0,
2022-11-02,HOU,False,False,"W, 109-101",36:51,28.0,5.0,4.0,4.0,1.0,0.0,5.0,10.0,20.0,3.0,8.0,5.0,6.0,
2022-11-04,SAS,False,False,"W, 113-106",37:31,32.0,6.0,2.0,2.0,1.0,0.0,5.0,11.0,16.0,4.0,6.0,6.0,7.0,
2022-11-06,UTA,True,False,"L, 102-110",38:02,34.0,4.0,8.0,8.0,1.0,0.0,5.0,11.0,22.0,5.0,14.0,7.0,8.0,
2022-11-07,CLE,True,True,"W, 119-117",39:41,26.0,3.0,5.0,5.0,1.0,0.0,1.0,10.0,20.0,5.0,11.0,1.0,3.0,
2022-11-09,LAL,True,False,"W, 114-101",36:16,29.0,4.0,6.0,6.0,1.0,2.0,4.0,10.0,17.0,2.0,7.0,7.0,9.0,
2022-11-12,BRK,True,False,"L, 95-110",34:06,17.0,4.0,4.0,4.0,0.0,2.0,2.0,5.0,21.0,1.0,6.0,6.0,7.0,
2022-11-14,HOU,False,False,"W, 122-106",29:05,22.0,5.0,8.0,8.0,2.0,0.0,1.0,7.0,18.0,2.0,7.0,6.0,8.0,
2022-11-15,DAL,False,True,"L, 101-103",41:28,23.0,6.0,7.0,7.0,2.0,0.0,10.0,7.0,13.0,1.0,3.0,8.0,8.0,
2022-11-17,DET,True,False,"W, 96-91",35:49,16.0,3.0,9.0,9.0,1.0,0.0,4.0,5.0,18.0,3.0,6.0,3.0,3.0,
2022-11-19,SAS,True,False,"W, 119-97",14:49,21.0,1.0,1.0,1.0,2.0,0.0,0.0,8.0,12.0,5.0,8.0,0.0,0.0,
2022-12-05,CHO,False,False,"W, 119-117",27:58,19.0,7.0,3.0,3.0,0.0,0.0,2.0,8.0,15.0,2.0,4.0,1.0,1.0,
2022-12-07,ORL,False,False,"L, 111-116 (OT)",32:32,11.0,5.0,7.0,7.0,1.0,1.0,4.0,3.0,12.0,2.0,6.0,3.0,3.0,
2022-12-08,MIA,False,True,"L, 110-115",32:14,29.0,7.0,8.0,8.0,1.0,0.0,4.0,10.0,20.0,5.0,11.0,4.0,4.0,
2022-12-10,WAS,False,False,"W, 114-107",40:53,36.0,6.0,7.0,7.0,3.0,2.0,2.0,13.0,27.0,5.0,12.0,5.0,5.0,
2022-12-12,BOS,True,False,"W, 113-93",35:27,26.0,3.0,6.0,6.0,1.0,0.0,2.0,8.0,22.0,2.0,5.0,8.0,9.0,
2022-12-14,MIN,True,False,"W, 99-88",33:23,17.0,11.0,11.0,11.0,0.0,0.0,4.0,4.0,13.0,2.0,7.0,7.0,8.0,
2022-12-21,CHO,True,False,"W, 126-105",30:54,22.0,8.0,8.0,8.0,1.0,2.0,7.0,7.0,15.0,4.0,10.0,4.0,4.0,
2022-12-23,PHI,False,False,"L, 114-119",35:36,22.0,4.0,3.0,3.0,2.0,0.0,2.0,7.0,18.0,3.0,10.0,5.0,5.0,
