date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2014-10-29,SAC,False,False,"W, 95-77",36:32,24.0,5.0,10.0,10.0,6.0,0.0,4.0,7.0,17.0,2.0,9.0,8.0,9.0,
2014-11-01,LAL,True,False,"W, 127-104",34:06,31.0,10.0,5.0,5.0,3.0,0.0,2.0,10.0,19.0,3.0,8.0,8.0,8.0,
2014-11-02,POR,False,True,"W, 95-90",30:50,21.0,6.0,5.0,5.0,2.0,0.0,3.0,6.0,18.0,1.0,5.0,8.0,8.0,
2014-11-05,LAC,True,False,"W, 121-104",33:49,28.0,7.0,6.0,6.0,1.0,0.0,5.0,9.0,18.0,4.0,8.0,6.0,6.0,
2014-11-08,HOU,False,False,"W, 98-87",39:58,34.0,5.0,9.0,9.0,4.0,0.0,5.0,13.0,19.0,6.0,9.0,2.0,2.0,
2014-11-09,PHO,False,True,"L, 95-107",34:04,28.0,10.0,2.0,2.0,5.0,0.0,10.0,10.0,20.0,4.0,10.0,4.0,4.0,
2014-11-11,SAS,True,False,"L, 100-113",35:46,16.0,5.0,6.0,6.0,0.0,0.0,3.0,7.0,18.0,0.0,7.0,2.0,2.0,
2014-11-13,BRK,True,False,"W, 107-99",31:56,17.0,5.0,3.0,3.0,0.0,0.0,3.0,6.0,12.0,3.0,7.0,2.0,2.0,
2014-11-15,CHO,True,False,"W, 112-87",28:18,19.0,9.0,5.0,5.0,1.0,0.0,1.0,8.0,15.0,3.0,6.0,0.0,1.0,
2014-11-16,LAL,False,True,"W, 136-115",29:56,30.0,15.0,4.0,4.0,1.0,0.0,3.0,10.0,19.0,5.0,9.0,5.0,5.0,
2014-11-21,UTA,True,False,"W, 101-88",24:30,8.0,10.0,5.0,5.0,2.0,0.0,4.0,3.0,9.0,2.0,6.0,0.0,0.0,
2014-11-23,OKC,False,False,"W, 91-86",38:07,15.0,6.0,6.0,6.0,1.0,0.0,1.0,5.0,15.0,2.0,6.0,3.0,4.0,
2014-11-25,MIA,False,False,"W, 114-97",37:05,40.0,7.0,6.0,6.0,3.0,1.0,2.0,12.0,19.0,8.0,11.0,8.0,9.0,
2014-11-26,ORL,False,True,"W, 111-96",23:38,28.0,8.0,5.0,5.0,0.0,0.0,1.0,9.0,13.0,6.0,8.0,4.0,5.0,
2014-11-28,CHO,False,False,"W, 106-101",32:20,26.0,6.0,4.0,4.0,1.0,2.0,4.0,9.0,20.0,1.0,10.0,7.0,7.0,
2014-11-30,DET,False,False,"W, 104-93",28:22,16.0,10.0,3.0,3.0,1.0,0.0,1.0,5.0,9.0,1.0,3.0,5.0,6.0,
2014-12-02,ORL,True,False,"W, 98-97",36:27,22.0,5.0,4.0,4.0,0.0,0.0,4.0,8.0,17.0,3.0,9.0,3.0,3.0,
2014-12-04,NOP,True,False,"W, 112-85",30:37,19.0,11.0,3.0,3.0,4.0,1.0,2.0,8.0,17.0,3.0,6.0,0.0,0.0,
2014-12-06,CHI,False,False,"W, 112-102",36:11,19.0,7.0,6.0,6.0,1.0,0.0,3.0,5.0,14.0,1.0,5.0,8.0,9.0,
2014-12-08,MIN,False,False,"W, 102-86",31:20,21.0,7.0,4.0,4.0,3.0,1.0,3.0,10.0,20.0,1.0,7.0,0.0,0.0,
2014-12-10,HOU,True,False,"W, 105-93",37:27,20.0,7.0,7.0,7.0,0.0,0.0,4.0,8.0,15.0,3.0,5.0,1.0,1.0,
2014-12-13,DAL,False,False,"W, 105-98",37:11,29.0,8.0,3.0,3.0,2.0,0.0,1.0,9.0,22.0,3.0,11.0,8.0,9.0,
2014-12-14,NOP,False,True,"W, 128-122 (OT)",39:55,34.0,7.0,7.0,7.0,1.0,0.0,6.0,11.0,21.0,6.0,10.0,6.0,6.0,
2014-12-16,MEM,False,False,"L, 98-105",38:57,19.0,6.0,7.0,7.0,4.0,0.0,3.0,9.0,25.0,1.0,10.0,0.0,0.0,
2014-12-18,OKC,True,False,"W, 114-109",41:31,34.0,9.0,7.0,7.0,4.0,1.0,4.0,14.0,24.0,5.0,12.0,1.0,1.0,
2014-12-22,SAC,True,False,"W, 128-108",26:18,12.0,11.0,2.0,2.0,3.0,0.0,1.0,5.0,12.0,1.0,5.0,1.0,1.0,
2014-12-23,LAL,False,True,"L, 105-115",29:58,22.0,6.0,2.0,2.0,3.0,0.0,7.0,10.0,14.0,2.0,5.0,0.0,0.0,
2014-12-25,LAC,False,False,"L, 86-100",35:59,14.0,7.0,9.0,9.0,2.0,0.0,5.0,5.0,12.0,1.0,5.0,3.0,4.0,
2014-12-27,MIN,True,False,"W, 110-97",30:32,25.0,6.0,3.0,3.0,3.0,0.0,3.0,9.0,18.0,4.0,9.0,3.0,4.0,
2014-12-30,PHI,True,False,"W, 126-86",26:43,13.0,9.0,3.0,3.0,3.0,0.0,3.0,4.0,7.0,3.0,6.0,2.0,2.0,
