date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2021-10-20,NOP,False,False,"W, 117-97",27:44,20.0,2.0,12.0,12.0,1.0,0.0,0.0,8.0,16.0,0.0,2.0,4.0,5.0,
2021-10-22,BRK,True,False,"L, 109-114",36:59,23.0,4.0,7.0,7.0,0.0,0.0,1.0,10.0,20.0,3.0,4.0,0.0,0.0,
2021-10-24,OKC,False,False,"W, 115-103",32:54,14.0,5.0,9.0,9.0,0.0,0.0,4.0,7.0,14.0,0.0,4.0,0.0,0.0,
2021-10-26,NYK,False,False,"L, 99-112",33:16,23.0,9.0,9.0,9.0,0.0,0.0,1.0,10.0,18.0,2.0,6.0,1.0,1.0,
2021-10-28,DET,True,False,"W, 110-102",36:10,17.0,1.0,6.0,6.0,0.0,2.0,2.0,7.0,13.0,1.0,4.0,2.0,2.0,
2021-10-30,ATL,True,False,"W, 122-94",31:18,22.0,4.0,11.0,11.0,0.0,0.0,1.0,9.0,13.0,2.0,5.0,2.0,2.0,
2021-11-11,TOR,True,False,"L, 109-115",36:44,19.0,7.0,7.0,7.0,0.0,1.0,4.0,7.0,18.0,1.0,6.0,4.0,4.0,
2021-11-13,IND,False,False,"L, 113-118",34:46,32.0,3.0,11.0,11.0,0.0,0.0,4.0,10.0,22.0,3.0,4.0,9.0,10.0,
2021-11-16,UTA,False,False,"L, 85-120",27:26,12.0,5.0,4.0,4.0,0.0,2.0,0.0,4.0,9.0,1.0,3.0,3.0,3.0,
2021-11-18,DEN,False,False,"W, 103-89",31:25,17.0,2.0,7.0,7.0,1.0,1.0,0.0,8.0,18.0,1.0,3.0,0.0,2.0,
2021-11-20,POR,False,False,"L, 111-118",36:12,28.0,3.0,8.0,8.0,0.0,0.0,5.0,11.0,21.0,2.0,4.0,4.0,5.0,
2021-11-27,MIN,True,False,"L, 120-121 (2OT)",45:15,17.0,4.0,9.0,9.0,2.0,0.0,0.0,6.0,16.0,0.0,4.0,5.0,7.0,
2021-11-29,ORL,True,False,"W, 101-96",34:44,17.0,2.0,9.0,9.0,1.0,0.0,0.0,8.0,20.0,1.0,4.0,0.0,0.0,
2021-12-01,BOS,False,False,"L, 87-88",31:53,8.0,1.0,6.0,6.0,1.0,1.0,2.0,4.0,11.0,0.0,4.0,0.0,0.0,
2021-12-06,CHO,False,False,"W, 127-124 (OT)",40:50,21.0,4.0,11.0,11.0,1.0,2.0,1.0,7.0,18.0,2.0,5.0,5.0,7.0,
2021-12-08,CHO,False,False,"W, 110-106",34:20,18.0,0.0,6.0,6.0,0.0,0.0,2.0,7.0,13.0,2.0,5.0,2.0,2.0,
