date,opponent,home,b2b,result,MIN,PTS,AST,REB,TRB,STL,BLK,TOV,FG,FGA,3P,3PA,FT,FTA,MP
2023-10-25,DAL,True,False,"L, 119-126",23:19,15.0,2.0,5.0,5.0,2.0,1.0,5.0,6.0,9.0,3.0,5.0,0.0,1.0,
2023-10-27,HOU,True,False,"W, 126-122 (OT)",30:59,21.0,1.0,12.0,12.0,3.0,3.0,4.0,7.0,19.0,0.0,6.0,7.0,8.0,
2023-10-29,LAC,False,False,"L, 83-123",26:16,11.0,2.0,5.0,5.0,1.0,1.0,5.0,4.0,10.0,0.0,2.0,3.0,6.0,
2023-10-31,PHO,False,False,"W, 115-114",28:13,18.0,1.0,8.0,8.0,0.0,4.0,5.0,6.0,12.0,2.0,6.0,4.0,5.0,
2023-11-02,PHO,False,False,"W, 132-121",34:21,38.0,2.0,10.0,10.0,1.0,2.0,2.0,15.0,26.0,3.0,6.0,5.0,6.0,
2023-11-05,TOR,True,False,"L, 116-123 (OT)",37:54,20.0,4.0,9.0,9.0,1.0,5.0,2.0,7.0,16.0,2.0,7.0,4.0,5.0,
2023-11-06,IND,False,True,"L, 111-152",21:17,13.0,0.0,10.0,10.0,1.0,2.0,2.0,3.0,12.0,2.0,5.0,5.0,6.0,
2023-11-08,NYK,False,False,"L, 105-126",30:11,14.0,2.0,9.0,9.0,0.0,1.0,3.0,4.0,14.0,0.0,4.0,6.0,6.0,
2023-11-10,MIN,True,False,"L, 110-117",34:54,29.0,4.0,9.0,9.0,1.0,4.0,3.0,12.0,21.0,3.0,7.0,2.0,4.0,
2023-11-12,MIA,True,False,"L, 113-118",34:24,18.0,7.0,11.0,11.0,1.0,1.0,7.0,8.0,22.0,2.0,9.0,0.0,0.0,
2023-11-14,OKC,False,False,"L, 87-123",28:20,8.0,2.0,14.0,14.0,0.0,2.0,5.0,4.0,15.0,0.0,3.0,0.0,0.0,
2023-11-17,SAC,True,False,"L, 120-129",30:28,27.0,0.0,9.0,9.0,2.0,0.0,4.0,12.0,26.0,2.0,8.0,1.0,1.0,
2023-11-18,MEM,True,True,"L, 108-120",31:07,19.0,4.0,13.0,13.0,1.0,8.0,2.0,6.0,17.0,2.0,6.0,5.0,6.0,
2023-11-20,LAC,True,False,"L, 99-124",26:33,9.0,4.0,3.0,3.0,0.0,2.0,1.0,4.0,12.0,0.0,4.0,1.0,1.0,
2023-11-22,LAC,True,False,"L, 102-109",32:47,22.0,3.0,15.0,15.0,1.0,3.0,2.0,7.0,13.0,1.0,2.0,7.0,7.0,
2023-11-24,GSW,False,False,"L, 112-118",35:09,22.0,4.0,9.0,9.0,1.0,2.0,6.0,8.0,18.0,1.0,6.0,5.0,5.0,
2023-11-26,DEN,False,False,"L, 120-132",24:56,22.0,2.0,11.0,11.0,6.0,4.0,3.0,7.0,17.0,2.0,5.0,6.0,7.0,
2023-11-30,ATL,True,False,"L, 135-137",29:17,21.0,2.0,12.0,12.0,2.0,4.0,2.0,9.0,16.0,1.0,5.0,2.0,2.0,
2023-12-06,MIN,False,False,"L, 94-102",32:25,12.0,1.0,10.0,10.0,1.0,1.0,2.0,4.0,13.0,0.0,2.0,4.0,6.0,
2023-12-08,CHI,True,False,"L, 112-121",31:49,21.0,4.0,20.0,20.0,1.0,4.0,1.0,8.0,20.0,0.0,4.0,5.0,6.0,
2023-12-11,HOU,False,False,"L, 82-93",33:00,15.0,3.0,18.0,18.0,0.0,5.0,5.0,7.0,15.0,1.0,6.0,0.0,1.0,
2023-12-13,LAL,True,False,"L, 119-122",32:30,30.0,2.0,13.0,13.0,3.0,6.0,5.0,11.0,21.0,4.0,5.0,4.0,7.0,
2023-12-15,LAL,True,False,"W, 129-115",30:50,13.0,5.0,15.0,15.0,2.0,2.0,2.0,5.0,13.0,1.0,2.0,2.0,3.0,
2023-12-17,NOP,True,False,"L, 110-146",31:07,17.0,4.0,13.0,13.0,1.0,4.0,3.0,6.0,13.0,2.0,6.0,3.0,4.0,
2023-12-21,CHI,False,False,"L, 95-114",22:13,7.0,5.0,5.0,5.0,2.0,3.0,2.0,3.0,8.0,0.0,1.0,1.0,3.0,
2023-12-26,UTA,True,False,"L, 118-130",24:26,15.0,4.0,7.0,7.0,1.0,5.0,4.0,6.0,15.0,1.0,4.0,2.0,3.0,
2023-12-28,POR,False,False,"W, 118-105",24:21,30.0,6.0,6.0,6.0,0.0,7.0,1.0,9.0,14.0,2.0,4.0,10.0,10.0,
2023-12-31,BOS,True,False,"L, 101-134",23:42,21.0,3.0,7.0,7.0,0.0,1.0,3.0,8.0,16.0,3.0,8.0,2.0,2.0,
2024-01-02,MEM,False,False,"L, 98-106",26:04,20.0,1.0,7.0,7.0,0.0,4.0,1.0,8.0,16.0,2.0,5.0,2.0,4.0,
2024-01-04,MIL,True,False,"L, 121-125",26:11,27.0,1.0,9.0,9.0,1.0,5.0,5.0,10.0,18.0,2.0,8.0,5.0,6.0,
2024-01-07,CLE,False,False,"L, 115-117",24:37,24.0,3.0,10.0,10.0,1.0,5.0,3.0,6.0,13.0,2.0,5.0,10.0,11.0,
2024-01-10,DET,False,False,"W, 130-108",21:02,16.0,10.0,12.0,12.0,0.0,0.0,0.0,6.0,16.0,0.0,4.0,4.0,5.0,
2024-01-12,CHO,True,False,"W, 135-99",19:41,26.0,1.0,11.0,11.0,0.0,2.0,3.0,9.0,14.0,2.0,3.0,6.0,6.0,
2024-01-15,ATL,False,False,"L, 99-109",27:05,26.0,2.0,13.0,13.0,2.0,5.0,3.0,12.0,18.0,1.0,5.0,1.0,1.0,
2024-01-17,BOS,False,False,"L, 98-117",26:36,27.0,1.0,5.0,5.0,0.0,1.0,5.0,10.0,19.0,2.0,6.0,5.0,6.0,
2024-01-20,WAS,False,False,"W, 131-127",27:45,24.0,4.0,8.0,8.0,0.0,6.0,6.0,10.0,21.0,2.0,5.0,2.0,4.0,
2024-01-22,PHI,False,False,"L, 123-133",28:21,33.0,2.0,7.0,7.0,0.0,2.0,1.0,10.0,19.0,2.0,5.0,11.0,12.0,
2024-01-24,OKC,True,False,"L, 114-140",27:46,24.0,4.0,12.0,12.0,1.0,4.0,3.0,9.0,18.0,0.0,3.0,6.0,8.0,
2024-01-26,POR,True,False,"W, 116-100",28:36,23.0,4.0,12.0,12.0,2.0,2.0,7.0,7.0,18.0,3.0,7.0,6.0,6.0,
2024-01-27,MIN,True,True,"W, 113-112",29:45,23.0,6.0,10.0,10.0,2.0,2.0,6.0,9.0,17.0,3.0,6.0,2.0,5.0,
2024-01-29,WAS,True,False,"L, 113-118",30:46,22.0,4.0,11.0,11.0,1.0,3.0,4.0,9.0,19.0,0.0,4.0,4.0,4.0,
2024-01-31,ORL,True,False,"L, 98-108",30:11,21.0,3.0,8.0,8.0,2.0,5.0,3.0,7.0,15.0,2.0,5.0,5.0,5.0,
2024-02-02,NOP,True,False,"L, 113-114",28:25,16.0,7.0,14.0,14.0,2.0,3.0,6.0,7.0,14.0,0.0,3.0,2.0,2.0,
2024-02-03,CLE,True,True,"L, 101-117",26:52,19.0,3.0,14.0,14.0,2.0,2.0,3.0,5.0,16.0,2.0,4.0,7.0,8.0,
2024-02-07,MIA,False,False,"L, 104-116",27:48,18.0,3.0,13.0,13.0,1.0,1.0,3.0,7.0,13.0,3.0,5.0,1.0,3.0,
2024-02-08,ORL,False,True,"L, 111-127",22:32,15.0,2.0,1.0,1.0,1.0,3.0,5.0,6.0,12.0,2.0,4.0,1.0,1.0,
